Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","LED","LED_0402",182.080000,-37.659000,230.000000,top
"D2","LED","LED_0402",180.380000,-35.459000,210.000000,top
"D3","LED","LED_0402",179.480000,-32.759000,190.000000,top
"D4","LED","LED_0402",179.380000,-30.059000,170.000000,top
"D5","LED","LED_0402",180.280000,-27.459000,150.000000,top
"D6","LED","LED_0402",182.080000,-25.259000,130.000000,top
"D7","LED","LED_0402",184.530000,-23.959000,110.000000,top
"D8","LED","LED_0402",187.280000,-23.459000,90.000000,top
"D9","LED","LED_0402",189.980000,-23.859000,70.000000,top
"D10","LED","LED_0402",192.380000,-25.359000,50.000000,top
"D11","LED","LED_0402",194.180000,-27.459000,30.000000,top
"D12","LED","LED_0402",195.180000,-30.059000,10.000000,top
"D13","LED","LED_0402",195.180000,-32.859000,350.000000,top
"D14","LED","LED_0402",194.180000,-35.459000,330.000000,top
"D15","LED","LED_0402",192.480000,-37.659000,310.000000,top
"D17","LED","LED_0402",207.080000,-37.659000,230.000000,top
"D18","LED","LED_0402",205.380000,-35.459000,210.000000,top
"D19","LED","LED_0402",204.480000,-32.759000,190.000000,top
"D20","LED","LED_0402",204.380000,-30.059000,170.000000,top
"D21","LED","LED_0402",205.280000,-27.459000,150.000000,top
"D22","LED","LED_0402",207.080000,-25.259000,130.000000,top
"D23","LED","LED_0402",209.530000,-23.959000,110.000000,top
"D24","LED","LED_0402",212.280000,-23.459000,90.000000,top
"D25","LED","LED_0402",214.980000,-23.859000,70.000000,top
"D26","LED","LED_0402",217.380000,-25.359000,50.000000,top
"D27","LED","LED_0402",219.180000,-27.459000,30.000000,top
"D28","LED","LED_0402",220.180000,-30.059000,10.000000,top
"D29","LED","LED_0402",220.180000,-32.859000,350.000000,top
"D30","LED","LED_0402",219.180000,-35.459000,330.000000,top
"D31","LED","LED_0402",217.480000,-37.659000,310.000000,top
"D33","LED","LED_0402",232.080000,-37.659000,230.000000,top
"D34","LED","LED_0402",230.380000,-35.459000,210.000000,top
"D35","LED","LED_0402",229.480000,-32.759000,190.000000,top
"D36","LED","LED_0402",229.380000,-30.059000,170.000000,top
"D37","LED","LED_0402",230.280000,-27.459000,150.000000,top
"D38","LED","LED_0402",232.080000,-25.259000,130.000000,top
"D39","LED","LED_0402",234.530000,-23.959000,110.000000,top
"D40","LED","LED_0402",237.280000,-23.459000,90.000000,top
"D41","LED","LED_0402",239.980000,-23.859000,70.000000,top
"D42","LED","LED_0402",242.380000,-25.359000,50.000000,top
"D43","LED","LED_0402",244.180000,-27.459000,30.000000,top
"D44","LED","LED_0402",245.180000,-30.059000,10.000000,top
"D45","LED","LED_0402",245.180000,-32.859000,350.000000,top
"D46","LED","LED_0402",244.180000,-35.459000,330.000000,top
"D47","LED","LED_0402",242.480000,-37.659000,310.000000,top
"D49","LED","LED_0402",257.080000,-37.659000,230.000000,top
"D50","LED","LED_0402",255.380000,-35.459000,210.000000,top
"D51","LED","LED_0402",254.480000,-32.759000,190.000000,top
"D52","LED","LED_0402",254.380000,-30.059000,170.000000,top
"D53","LED","LED_0402",255.280000,-27.459000,150.000000,top
"D54","LED","LED_0402",257.080000,-25.259000,130.000000,top
"D55","LED","LED_0402",259.530000,-23.959000,110.000000,top
"D56","LED","LED_0402",262.280000,-23.459000,90.000000,top
"D57","LED","LED_0402",264.980000,-23.859000,70.000000,top
"D58","LED","LED_0402",267.380000,-25.359000,50.000000,top
"D59","LED","LED_0402",269.180000,-27.459000,30.000000,top
"D60","LED","LED_0402",270.180000,-30.059000,10.000000,top
"D61","LED","LED_0402",270.180000,-32.859000,350.000000,top
"D62","LED","LED_0402",269.180000,-35.459000,330.000000,top
"D63","LED","LED_0402",267.480000,-37.659000,310.000000,top
